87057	21492	k	
87060	21493	t	
87065	21494	p	
87069	21495	s	
87073	21496	s	
87077	21497	s	
87081	21498	s	
87085	21499	s	
87089	21500	s	
87093	21501	p	
87097	21502	s	
87101	21503	s	
87105	21504	s	
87109	21505	s	
87113	21506	s	
87117	21507	s	
87121	21508	s	
87125	21509	s	
87129	21510	s	
87133	21511	s	
87137	21512	s	
87141	21513	s	
87145	21514	s	
87149	21515	s	
87153	21516	s	
87157	21517	s	
87161	21518	s	
87165	21519	s	
87169	21520	s	
87173	21521	s	
87177	21522	p	
87181	21523	s	
87185	21524	s	
87189	21525	s	
87193	21526	s	
87197	21527	p	
87201	21528	s	
87209	21530	s	
87213	21531	s	
87217	21532	s	
87221	21533	s	
87225	21534	t	
87229	21535	t	
87233	21536	p	
87237	21537	s	
87241	21538	s	
87245	21539	s	
87249	21540	s	
87253	21541	s	
87257	21542	s	
87261	21543	p	
87265	21544	s	
87269	21545	s	
87273	21546	s	
87277	21547	s	
87281	21548	s	
87285	21549	s	
87289	21550	s	
87293	21551	s	
87297	21552	p	
87301	21553	s	
87305	21554	s	
87313	21556	p	
87321	21558	s	
87325	21559	s	
87329	21560	s	
87333	21561	s	
87337	21562	p	
87341	21563	s	
87345	21564	s	
87349	21565	p	
87353	21566	p	
87357	21567	p	
87361	21568	t	
87365	21569	p	
87369	21570	s	
87373	21571	s	
87377	21572	s	
87381	21573	s	
87385	21574	s	
87389	21575	s	
87393	21576	s	
87397	21577	s	
87401	21578	p	
87405	21579	s	
87409	21580	s	
87413	21581	p	
87417	21582	s	
87421	21583	s	
87425	21584	s	
87429	21585	s	
87433	21586	s	
87437	21587	p	
87441	21588	s	
87445	21589	s	
87449	21590	s	
87453	21591	s	
87461	21593	s	
87465	21594	p	
87469	21595	s	
87473	21596	s	
87477	21597	s	
87481	21598	s	
87485	21599	s	
87489	21600	s	
87493	21601	s	
87497	21602	s	
87501	21603	s	
87505	21604	s	
87509	21605	s	
87513	21606	s	
87517	21607	s	
87521	21608	s	
87525	21609	s	
87529	21610	s	
87533	21611	p	
87537	21612	t	
87541	21613	t	
87545	21614	t	
87549	21615	p	
87553	21616	s	
87557	21617	s	
87561	21618	s	
87565	21619	s	
87569	21620	s	
87573	21621	s	
87577	21622	s	
87581	21623	s	
87585	21624	s	
87589	21625	p	
87593	21626	s	
87597	21627	s	
87601	21628	s	
87605	21629	s	
87609	21630	s	
87613	21631	s	
87617	21632	s	
87621	21633	s	
87625	21634	s	
87629	21635	s	
87633	21636	s	
87637	21637	s	
87641	21638	s	
