137894	7521	21503	2	2
137901	7522	21504	10	2
137906	7523	21830	100000	
137912	7524	26641	1.5	2
137918	7525	26641	1.5	3
137920	7525	21503	1.2	3
137925	7526	21533	100	1
137930	7527	21533	25	1
137936	7528	21553	420	2
137938	7528	22342	180	2
137944	7529	21544	40	2
137946	7529	21540	40	2
137953	7530	21544	200	2
137954	7530	21540	200	2
137961	7531	21544	80	3
137963	7531	21540	80	3
137965	7531	26734	6	3
137970	7532	21544	400	2
137971	7532	21540	400	2
137972	7532	26734	30	2
137978	7533	21544	50	2
137980	7533	26735	24	2
137982	7533	21540	24	2
137987	7534	21544	250	2
137988	7534	26735	120	2
137989	7534	21540	120	2
137994	7535	21570	800	2
138008	7536	21570	200	2
138020	7537	21570	400	2
138038	7538	21570	800	2
138052	7539	21571	150	2
138066	7540	21571	15	2
138080	7541	21571	150	2
138106	7542	21571	300	2
138132	7543	21572	20	2
138150	7544	21572	40	2
138168	7545	21573	150	2
138182	7546	21573	300	2
138196	7547	21579	200	8
138201	7548	21582	20	2
138211	7549	21582	10	2
138216	7550	21582	20	2
138226	7551	21583	20	2
138231	7552	21583	40	2
138239	7553	21584	15	2
138244	7554	21584	30	2
138252	7555	21584	30	2
138260	7556	21585	10	2
138265	7557	21585	20	2
138273	7558	21586	20	2
138278	7559	21586	40	2
138291	7562	21596	1	13
138297	7563	21618	135	2
138303	7564	21630	15	2
138308	7565	21677	600	8
138313	7566	21681	20	2
138318	7567	21721	10	2
138323	7568	21721	1	2
138328	7569	21721	10	2
138334	7570	21722	1	2
138339	7571	21722	10	2
138344	7572	21722	5	2
138349	7573	21723	10	2
138354	7574	21729	4	2
138359	7575	21729	8	2
138364	7576	21729	0.8	2
138369	7577	21729	4	2
138377	7578	21729	8	2
138385	7579	21729	4	2
138393	7580	21729	8	2
138401	7581	21731	5	2
138406	7582	21731	5	2
138411	7583	21732	100	2
138416	7584	21732	200	2
138421	7585	21746	250	2
138426	7586	21765	50	2
138431	7587	21769	10	2
138436	7588	21769	10	2
138442	7589	21769	5	2
138447	7590	21769	5	2
138449	7591	21773	7.5	2
138455	7592	21765	100	2
138457	7592	21769	10	2
138463	7593	21765	50	2
138465	7593	26736	8	2
138470	7594	26648	3.5	13
138475	7595	26649	336	13
138480	7596	26649	283	13
138485	7597	26649	275	13
138490	7598	26649	300	13
138496	7599	26649	360	2
138498	7599	26737	93	2
138503	7600	26649	360	2
