87059	21492	A
87063	21493	A01
87064	21493	A01A
87068	21494	A01AA
87071	21495	A01AA01
87075	21496	A01AA02
87079	21497	A01AA03
87083	21498	A01AA04
87087	21499	A01AA30
87091	21500	A01AA51
87096	21501	A01AB
87099	21502	A01AB02
87103	21503	A01AB03
87107	21504	A01AB04
87111	21505	A01AB05
87115	21506	A01AB06
87119	21507	A01AB07
87123	21508	A01AB08
87127	21509	A01AB09
87131	21510	A01AB10
87135	21511	A01AB11
87139	21512	A01AB12
87143	21513	A01AB13
87147	21514	A01AB14
87151	21515	A01AB15
87155	21516	A01AB16
87159	21517	A01AB17
87163	21518	A01AB18
87167	21519	A01AB19
87171	21520	A01AB21
87175	21521	A01AB22
87180	21522	A01AC
87183	21523	A01AC01
87187	21524	A01AC02
87191	21525	A01AC03
87195	21526	A01AC54
87200	21527	A01AD
87203	21528	A01AD01
87207	21529	A01AD02
87211	21530	A01AD05
87215	21531	A01AD06
87219	21532	A01AD07
87223	21533	A01AD11
87228	21534	A02
87232	21535	A02A
87236	21536	A02AA
87239	21537	A02AA01
87243	21538	A02AA02
87247	21539	A02AA03
87251	21540	A02AA04
87255	21541	A02AA05
87259	21542	A02AA10
87264	21543	A02AB
87267	21544	A02AB01
87271	21545	A02AB02
87275	21546	A02AB03
87279	21547	A02AB04
87283	21548	A02AB05
87287	21549	A02AB06
87291	21550	A02AB07
87295	21551	A02AB10
87300	21552	A02AC
87303	21553	A02AC01
87307	21554	A02AC02
87311	21555	A02AC10
87316	21556	A02AD
87319	21557	A02AD01
87323	21558	A02AD02
87327	21559	A02AD03
87331	21560	A02AD04
87335	21561	A02AD05
87340	21562	A02AF
87343	21563	A02AF01
87347	21564	A02AF02
87352	21565	A02AG
87356	21566	A02AH
87360	21567	A02AX
87364	21568	A02B
87368	21569	A02BA
87371	21570	A02BA01
87375	21571	A02BA02
87379	21572	A02BA03
87383	21573	A02BA04
87387	21574	A02BA05
87391	21575	A02BA06
87395	21576	A02BA07
87399	21577	A02BA51
87404	21578	A02BB
87407	21579	A02BB01
87411	21580	A02BB02
87416	21581	A02BC
87419	21582	A02BC01
87423	21583	A02BC02
87427	21584	A02BC03
87431	21585	A02BC04
87435	21586	A02BC05
87440	21587	A02BD
87443	21588	A02BD01
87447	21589	A02BD02
87451	21590	A02BD03
87455	21591	A02BD04
87459	21592	A02BD05
87463	21593	A02BD06
87468	21594	A02BX
87471	21595	A02BX01
87475	21596	A02BX02
87479	21597	A02BX03
87483	21598	A02BX04
87487	21599	A02BX05
87491	21600	A02BX06
87495	21601	A02BX07
87499	21602	A02BX08
87503	21603	A02BX09
87507	21604	A02BX10
87511	21605	A02BX11
87515	21606	A02BX12
87519	21607	A02BX13
87523	21608	A02BX51
87527	21609	A02BX71
87531	21610	A02BX77
87536	21611	A02DA
87540	21612	A02X
87544	21613	A03
87548	21614	A03A
87552	21615	A03AA
87555	21616	A03AA01
87559	21617	A03AA03
87563	21618	A03AA04
87567	21619	A03AA05
87571	21620	A03AA06
87575	21621	A03AA07
87579	21622	A03AA08
87583	21623	A03AA09
87587	21624	A03AA30
87592	21625	A03AB
87595	21626	A03AB01
87599	21627	A03AB02
87603	21628	A03AB03
87607	21629	A03AB04
87611	21630	A03AB05
87615	21631	A03AB06
87619	21632	A03AB07
87623	21633	A03AB08
87627	21634	A03AB09
87631	21635	A03AB10
87635	21636	A03AB11
87639	21637	A03AB12
87643	21638	A03AB13
87647	21639	A03AB14
87651	21640	A03AB15
87655	21641	A03AB16
87659	21642	A03AB17
87663	21643	A03AB18
87667	21644	A03AB19
87671	21645	A03AB20
87675	21646	A03AB21
87679	21647	A03AB53
87684	21648	A03AC
87687	21649	A03AC02
87691	21650	A03AC04
87695	21651	A03AC05
87700	21652	A03AD
87703	21653	A03AD01
87707	21654	A03AD02
87711	21655	A03AD30
87716	21656	A03AE
87719	21657	A03AE01
87723	21658	A03AE02
87728	21659	A03AX
87731	21660	A03AX01
87735	21661	A03AX02
87739	21662	A03AX03
87743	21663	A03AX04
87747	21664	A03AX05
87751	21665	A03AX06
87755	21666	A03AX07
87759	21667	A03AX08
87763	21668	A03AX09
87767	21669	A03AX10
87771	21670	A03AX11
87775	21671	A03AX12
87779	21672	A03AX13
87783	21673	A03AX30
87787	21674	A03AX58
87792	21675	A03B
87796	21676	A03BA
87799	21677	A03BA01
87803	21678	A03BA03
87807	21679	A03BA04
87812	21680	A03BB
87815	21681	A03BB01
87819	21682	A03BB02
87823	21683	A03BB03
87827	21684	A03BB04
87831	21685	A03BB05
87836	21686	A03C
87840	21687	A03CA
87843	21688	A03CA01
87847	21689	A03CA02
87851	21690	A03CA03
87855	21691	A03CA04
87859	21692	A03CA05
87863	21693	A03CA06
87867	21694	A03CA07
87871	21695	A03CA08
87875	21696	A03CA30
87879	21697	A03CA34
87884	21698	A03CB
87887	21699	A03CB01
87891	21700	A03CB02
87895	21701	A03CB03
87899	21702	A03CB04
87903	21703	A03CB31
87908	21704	A03CC
87912	21705	A03D
87916	21706	A03DA
87919	21707	A03DA01
87923	21708	A03DA02
87927	21709	A03DA03
87931	21710	A03DA04
87935	21711	A03DA05
87939	21712	A03DA06
87943	21713	A03DA07
87948	21714	A03DB
87951	21715	A03DB04
87956	21716	A03DC
87960	21717	A03E
87964	21718	A03EA
87968	21719	A03ED
87972	21720	A03F
87973	21720	A03FA
87976	21721	A03FA01
87980	21722	A03FA02
87984	21723	A03FA03
87988	21724	A03FA04
87992	21725	A03FA05
87996	21726	A03FA06
88001	21727	A04
88002	21727	A04A
88006	21728	A04AA
88009	21729	A04AA01
88013	21730	A04AA02
88017	21731	A04AA03
88021	21732	A04AA04
88026	21733	A04AD
88029	21734	A04AD01
88033	21735	A04AD02
88037	21736	A04AD04
88041	21737	A04AD05
88045	21738	A04AD10
88049	21739	A04AD11
88053	21740	A04AD51
88057	21741	A04AD54
88062	21742	A05
88066	21743	A05A
88070	21744	A05AA
88073	21745	A05AA01
88077	21746	A05AA02
88082	21747	A05AB
88085	21748	A05AB01
88090	21749	A05AX
88093	21750	A05AX01
88097	21751	A05AX02
88101	21752	A05AX03
88106	21753	A05B
88110	21754	A05BA
88113	21755	A05BA01
88117	21756	A05BA03
88121	21757	A05BA04
88125	21758	A05BA05
88129	21759	A05BA06
88133	21760	A05BA07
88138	21761	A05C
88142	21762	A06
88143	21762	A06A
