"Keyword_id","Grouper_id"
1,82
1,87
1,103
1,104
1,175
2,45
2,46
2,73
2,77
2,78
2,123
2,145
2,146
2,147
2,148
2,210
2,236
2,239
2,252
2,278
2,339
2,363
2,382
2,450
2,559
2,592
2,596
2,622
2,684
2,687
2,728
3,627
3,628
4,163
4,499
5,137
5,460
6,643
7,407
7,408
7,409
7,410
7,411
7,755
8,514
9,741
10,295
10,296
11,538
12,222
12,257
13,145
13,213
14,280
15,432
16,407
16,409
16,411
17,477
18,217
18,221
19,55
20,414
21,40
21,41
21,42
21,43
21,44
22,283
23,424
24,21
24,398
25,398
26,78
26,210
27,57
27,80
28,210
28,594
28,596
29,227
29,407
29,408
30,223
30,407
30,408
30,812
31,408
32,40
32,47
32,158
32,177
32,214
32,215
32,228
32,481
32,530
33,47
33,214
34,505
35,421
36,643
37,280
38,412
39,323
40,72
40,74
40,75
40,76
40,208
41,42
42,85
42,86
42,96
42,137
42,517
43,211
43,279
44,523
45,397
46,495
47,206
47,316
47,330
47,334
47,337
47,338
48,203
48,266
49,45
49,73
49,123
49,252
49,278
49,339
49,382
49,382
49,525
49,559
49,592
49,622
49,684
49,728
49,814
50,435
50,544
51,615
52,600
52,615
53,85
54,176
54,198
54,226
54,394
54,425
54,427
55,176
55,226
55,394
55,425
56,243
57,288
58,399
59,14
59,148
59,236
59,660
60,130
61,130
62,543
62,544
63,206
63,309
63,333
63,355
64,285
65,286
66,320
67,177
67,201
67,215
67,340
67,341
67,345
67,346
67,347
67,348
67,349
68,755
69,188
70,480
71,297
72,529
73,283
74,428
75,432
76,278
77,741
78,307
79,75
79,208
80,178
80,203
81,304
81,305
81,341
82,719
83,505
84,519
85,294
86,519
87,405
88,413
88,414
88,744
88,751
89,89
90,388
91,69
91,120
91,199
91,216
91,217
91,220
91,221
91,225
91,247
91,277
91,291
91,354
91,377
91,473
91,478
91,520
91,521
91,557
91,558
91,589
91,620
91,679
91,680
91,681
91,723
91,729
91,813
92,753
93,494
93,495
94,95
95,574
95,577
95,587
96,10
96,96
96,234
96,443
96,600
96,608
96,646
96,651
97,159
98,145
98,152
98,172
98,213
99,499
100,164
100,235
101,181
102,199
102,216
102,225
102,290
102,786
104,56
104,59
104,60
104,61
104,62
104,63
104,69
104,73
