"Grouper_id","ICPC_code"
217,"D78001"
217,"D78006"
217,"F74001"
217,"H75001"
217,"K72001"
217,"L97007"
217,"L97008"
217,"L97009"
217,"L97010"
217,"L97011"
217,"L97012"
217,"L97013"
217,"L97016"
217,"N75"
217,"R86"
217,"S78"
217,"S79001"
217,"S79002"
217,"S79003"
217,"S79004"
217,"S79005"
217,"S79006"
217,"S79008"
217,"S79010"
217,"S79011"
217,"S80"
217,"S81"
217,"T72"
217,"T73004"
217,"T73007"
217,"T73008"
217,"T73009"
217,"U78"
217,"W73001"
217,"X78"
217,"X79"
217,"X80"
217,"Y79001"
217,"Y79002"
217,"Y79003"
218,"A79"
218,"B72"
218,"B73"
218,"B74"
218,"D74"
218,"D75"
218,"D76"
218,"D77"
218,"F74002"
218,"F74003"
218,"H75002"
218,"H75003"
218,"K72002"
218,"K72003"
218,"L71"
218,"N74"
218,"R84"
218,"R85"
218,"S77"
218,"T71"
218,"T73001"
218,"T73002"
218,"U75"
218,"U76"
218,"U77"
218,"W72"
218,"X75"
218,"X76"
218,"X77"
218,"Y77"
218,"Y78"
219,"B75006"
219,"D78010"
219,"F74004"
219,"H75006"
219,"K72004"
219,"L97014"
219,"S79013"
219,"T73005"
219,"Y79005"
220,"A99019"
220,"B75004"
220,"B75005"
220,"B75007"
220,"D78002"
220,"D78003"
220,"D78004"
220,"D78005"
220,"D78007"
220,"D78008"
220,"D78009"
220,"D78011"
220,"F74004"
220,"H75004"
220,"H75007"
220,"K72005"
220,"L97015"
220,"N76"
220,"R92"
220,"S79007"
220,"S79009"
220,"S79012"
220,"S79014"
220,"T73003"
220,"T73006"
220,"U79"
220,"W73002"
220,"X81"
220,"Y79004"
221,"A79"
221,"A99018"
221,"A99019"
221,"B72"
221,"B73"
221,"B74"
221,"B75"
221,"D74"
221,"D75"
221,"D76"
221,"D77"
221,"D78"
221,"F74"
221,"H75"
221,"K72"
221,"L71"
221,"L97"
221,"N74"
221,"N75"
221,"N76"
221,"R84"
221,"R85"
221,"R86"
221,"R92"
221,"S77"
221,"S78"
221,"S79"
221,"S80"
221,"S81"
221,"T71"
221,"T72"
221,"T73"
221,"U75"
221,"U76"
221,"U77"
221,"U78"
221,"U79"
221,"W72"
221,"W73"
221,"X75"
221,"X76"
221,"X77"
221,"X78"
221,"X79"
221,"X80"
221,"X81"
221,"Y77"
221,"Y78"
221,"Y79"
222,"H28"
222,"H84"
222,"H85"
222,"H86"
223,"B90005"
223,"P15004"
223,"P70"
224,"T89"
224,"T90"
225,"K86"
225,"K87"
226,"P74"
226,"P75"
226,"P76"
226,"P79"
226,"P99007"
226,"P99009"
227,"P15002"
227,"P15020"
227,"P19004"
227,"P70"
227,"P71"
227,"P72"
227,"P73"
227,"P76019"
227,"P98"
228,"R74010"
228,"R83011"
228,"R97"
229,"A78011"
229,"B90"
229,"D72003"
229,"D72008"
229,"U72003"
229,"U72005"
229,"U72006"
229,"U72007"
229,"U72008"
229,"U72009"
229,"U72010"
229,"X70"
229,"X71"
229,"X73"
229,"X74"
229,"X90"
229,"X91"
229,"X92"
229,"Y03"
229,"Y70"
229,"Y71"
229,"Y72"
229,"Y73002"
229,"Y76"
229,"Y99018"
230,"H01"
231,"H02"
232,"H03"
233,"H04"
234,"H05"
235,"H13"
236,"H15"
237,"H27"
238,"H28"
239,"H29"
240,"H30"
241,"H31"
242,"H70"
243,"H71"
244,"H72"
245,"H73"
246,"H74"
247,"H75"
248,"H76"
249,"H77"
250,"H78"
251,"H79"
252,"H80"
253,"H81"
254,"H82"
255,"H83"
256,"H84"
257,"H85"
258,"H86"
259,"H99"
260,"K01"
261,"K02"
262,"K03"
263,"K04"
264,"K05"
265,"K06"
266,"K07"
267,"K22"
268,"K24"
269,"K25"
270,"K27"
271,"K28"
272,"K29"
273,"K30"
274,"K31"
275,"K70"
276,"K71"
277,"K72"
278,"K73"
279,"K74"
280,"K75"
281,"K76"
282,"K77"
283,"K78"
284,"K79"
285,"K80"
286,"K81"
287,"K82"
288,"K83"
289,"K84"
290,"K85"
291,"K86"
292,"K87"
293,"K88"
294,"K89"
295,"K90"
296,"K91"
297,"K92"
298,"K93"
299,"K94"
300,"K95"
301,"K96"
302,"K99"
303,"L01"
304,"L02"
305,"L03"
306,"L04"
307,"L05"
308,"L07"
309,"L09"
310,"L10"
311,"L11"
312,"L12"
313,"L13"
314,"L14"
315,"L15"
316,"L16"
317,"L17"
318,"L18"
319,"L19"
320,"L20"
321,"L26"
322,"L27"
323,"L28"
324,"L29"
325,"L30"
326,"L31"
327,"L70"
328,"L71"
329,"L72"
330,"L73"
331,"L74"
332,"L75"
